500.00,43.00,1,0,0,0,0,0,1,0
690.00,80.00,1,0,0,0,1,0,1,0
695.00,60.00,1,0,0,0,1,0,1,0
880.00,88.00,1,0,0,0,1,0,1,0
600.00,65.00,1,0,0,1,1,0,1,0
510.00,55.00,0,1,0,0,0,0,-1,1
799.00,70.00,1,0,0,0,0,0,1,0
1000.00,77.00,1,0,0,1,1,0,1,0
400.00,45.00,0,1,0,0,0,0,-1,1
1640.00,150.00,1,0,0,0,0,0,1,0
550.00,65.00,1,1,0,0,0,0,-1,1
875.00,67.00,0,0,0,0,0,0,1,0
860.00,0.00,1,0,0,0,1,0,1,0
550.00,55.00,0,0,0,0,0,0,1,0
450.00,45.00,0,0,0,0,0,0,-1,1
540.00,38.00,0,0,0,0,1,0,1,0
550.00,43.00,1,0,0,0,0,0,1,0
495.00,30.00,1,0,0,0,1,0,1,0
590.00,50.00,1,0,0,0,1,0,1,0
572.00,40.00,1,0,0,1,1,0,1,0
380.00,25.00,1,0,1,0,1,0,1,0
400.00,40.00,1,0,0,0,0,0,1,0
380.00,25.00,1,0,1,0,1,0,1,0
400.00,51.00,0,1,0,0,0,0,-1,1
1523.89,109.00,1,0,0,1,1,0,1,0
400.00,75.00,0,1,0,0,0,0,-1,1
520.00,40.00,1,0,0,0,1,0,1,0
300.00,20.00,1,0,0,0,0,0,1,0
251.31,0.00,1,0,0,0,0,0,1,0
595.00,46.00,1,0,0,0,0,0,1,0
300.00,40.00,0,1,0,0,0,0,-1,1
750.00,53.00,1,0,0,0,0,0,1,0
750.00,72.00,1,0,0,0,1,0,1,0
500.00,52.00,1,0,0,1,1,0,1,0
600.00,90.00,0,0,0,0,0,0,-1,1
400.00,20.00,1,0,0,0,0,0,1,0
450.00,30.00,1,0,0,0,0,0,1,0
720.00,144.00,0,0,0,0,0,0,-1,1
480.00,48.00,1,0,0,0,0,0,1,0
400.00,20.00,1,0,0,0,0,0,1,0
395.00,31.00,0,0,0,1,1,0,1,0
670.00,55.00,0,1,0,0,0,0,-1,1
810.00,70.00,1,0,0,0,1,0,1,0
729.00,60.00,0,0,0,0,0,0,1,0
700.00,68.00,1,0,0,0,0,0,1,0
630.00,62.00,1,0,0,0,0,0,1,0
700.00,67.00,1,1,0,0,1,0,1,0
680.00,54.00,0,0,0,0,0,0,1,0
670.00,69.00,0,0,0,0,0,0,1,0
690.00,63.00,1,0,0,0,0,0,1,0
