265,1,1,500.01,43.00,1,0,0,0,0,0
268,1,1,690.00,80.00,1,0,0,0,1,0
278,1,1,695.00,60.00,1,0,0,0,1,0
279,1,1,880.00,88.00,1,0,0,0,1,0
221,1,1,600.00,65.00,1,0,0,1,1,0
251,-1,0,510.00,55.00,0,1,0,0,0,0
256,1,1,799.00,70.00,1,0,0,0,0,0
266,1,1,1000.00,77.00,1,0,0,1,1,0
276,-1,0,400.00,45.00,0,1,0,0,0,0
285,1,1,1640.00,150.00,1,0,0,0,0,0
287,-1,0,550.00,65.00,1,1,0,0,0,0
299,1,1,875.00,67.00,0,0,0,0,0,0
303,1,1,860.00,0.00,1,0,0,0,1,0
313,1,1,550.00,55.00,0,0,0,0,0,0
226,-1,0,450.00,45.00,0,0,0,0,0,0
227,1,1,540.00,38.00,0,0,0,0,1,0
228,1,1,550.00,43.00,1,0,0,0,0,0
229,1,1,495.00,30.00,1,0,0,0,1,0
230,1,1,590.00,50.00,1,0,0,0,1,0
231,1,1,572.00,40.00,1,0,0,1,1,0
232,1,1,380.00,25.00,1,0,1,0,1,0
233,1,1,400.00,40.00,1,0,0,0,0,0
262,1,1,380.00,25.00,1,0,1,0,1,0
264,-1,0,400.00,51.00,0,1,0,0,0,0
269,1,1,1523.89,109.00,1,0,0,1,1,0
275,-1,0,400.00,75.00,0,1,0,0,0,0
281,1,1,520.00,40.00,1,0,0,0,1,0
282,1,1,300.00,20.00,1,0,0,0,0,0
294,1,1,251.31,0.00,1,0,0,0,0,0
297,1,1,595.00,46.00,1,0,0,0,0,0
301,-1,0,300.00,40.00,0,1,0,0,0,0
311,1,1,750.00,53.00,1,0,0,0,0,0
314,1,1,750.00,72.00,1,0,0,0,1,0
222,1,1,500.00,52.00,1,0,0,1,1,0
224,-1,0,600.00,90.00,0,0,0,0,0,0
253,1,1,400.00,20.00,1,0,0,0,0,0
254,1,1,450.00,30.00,1,0,0,0,0,0
258,-1,0,720.00,144.00,0,0,0,0,0,0
261,1,1,480.00,48.00,1,0,0,0,0,0
263,1,1,400.00,20.00,1,0,0,0,0,0
267,1,1,395.00,31.00,0,0,0,1,1,0
273,-1,0,670.00,55.00,0,1,0,0,0,0
288,1,1,810.00,70.00,1,0,0,0,1,0
317,1,1,729.00,60.00,0,0,0,0,0,0
320,1,1,700.00,68.00,1,0,0,0,0,0
323,1,1,630.00,62.00,1,0,0,0,0,0
201,1,1,700.00,67.00,1,1,0,0,1,0
202,1,1,680.00,54.00,0,0,0,0,0,0
203,1,1,670.00,69.00,0,0,0,0,0,0
204,1,1,690.00,63.00,1,0,0,0,0,0
205,1,1,660.00,40.00,1,0,0,0,1,0
206,1,1,568.00,46.00,1,0,0,0,0,0
207,1,1,688.58,84.00,0,0,0,0,0,0
208,1,1,700.00,68.00,0,0,0,0,0,0
209,1,1,695.00,60.00,1,0,0,0,1,0
210,-1,0,690.00,64.00,1,0,0,0,1,0
211,1,1,680.00,55.00,0,0,0,0,1,0
212,1,1,660.00,50.00,1,0,0,0,1,0
213,1,1,695.00,90.00,1,0,0,0,0,0
214,1,1,700.00,60.00,1,0,0,0,0,0
215,1,1,690.00,68.00,1,0,0,0,0,0
216,1,1,700.00,50.00,0,1,0,0,0,0
217,1,1,700.00,55.00,1,0,0,0,1,0
218,1,1,550.00,48.00,0,0,0,0,1,0
219,1,1,650.00,40.00,1,0,0,0,0,0
252,1,1,795.00,90.00,0,0,0,1,1,0
277,1,1,420.00,33.00,0,0,0,0,0,0
280,1,1,880.00,88.00,1,0,0,0,1,0
312,1,1,430.00,30.00,0,0,0,0,1,0
220,1,1,500.00,40.00,1,0,0,0,0,0
0,-1,0,400.00,35.00,1,0,0,0,0,0
2,-1,0,360.00,98.00,1,1,0,0,0,0
3,-1,0,300.00,50.00,0,1,0,0,0,0
4,-1,0,390.00,51.00,0,0,0,0,0,0
6,-1,0,300.00,70.00,0,1,0,0,0,0
7,-1,0,300.00,59.00,0,1,0,0,0,0
8,-1,0,400.00,68.00,0,1,0,0,0,0
10,1,1,316.00,28.00,1,0,0,0,0,0
11,-1,0,390.00,65.00,0,1,0,0,0,0
12,-1,0,360.00,30.00,1,1,0,0,0,0
15,-1,0,400.00,65.00,0,1,0,0,0,0
17,-1,0,310.00,27.00,1,1,0,0,0,0
18,1,1,309.00,0.00,1,0,0,0,1,0
19,-1,0,150.00,105.00,1,0,0,0,0,0
20,1,1,390.00,36.00,0,0,0,0,1,0
22,-1,0,400.00,28.00,1,0,0,0,0,0
23,-1,0,350.00,50.00,0,1,0,0,0,0
25,-1,0,300.00,60.00,0,1,0,0,0,0
26,-1,0,300.00,33.00,0,1,0,0,0,0
27,1,1,380.00,25.00,1,0,0,0,1,0
28,1,1,380.00,25.00,0,0,0,0,0,0
30,1,1,399.00,36.00,1,0,0,0,1,0
31,1,1,359.00,35.00,1,0,0,0,0,0
32,-1,0,400.00,1.00,0,0,0,0,0,0
33,1,1,239.00,0.00,1,0,0,0,1,0
35,-1,0,400.00,72.00,0,1,0,0,0,0
36,1,1,390.00,36.00,0,0,0,0,1,0
38,1,1,360.00,30.00,1,0,0,0,0,0
39,-1,0,350.00,48.00,0,1,0,0,0,0
43,-1,0,400.00,50.00,0,1,0,0,0,0
44,1,1,400.00,40.00,1,0,0,0,0,0
49,-1,0,300.00,59.00,0,1,0,0,0,0
